subject,arm,cam_a,cam_b,raw_med_mm,centroid_mm,aligned_med_mm
train16,T,webcam_l,webcam_c,1.297,0.121,1.235
train16,S,webcam_r,basler,2.262,0.286,2.290
train16,T,webcam_r,basler,1.962,0.151,2.087
train16,S,webcam_r,webcam_c,1.345,0.362,1.148
train16,T,webcam_r,webcam_c,1.280,0.206,1.031
train16,S,webcam_r,webcam_l,2.117,0.049,1.525
train16,T,webcam_r,webcam_l,2.251,0.258,1.818
train19,S,webcam_c,basler,1.012,1.118,0.813
train19,T,webcam_c,basler,1.711,0.357,1.475
train19,S,webcam_l,basler,1.914,1.106,1.837
train19,T,webcam_l,basler,1.334,0.110,1.697
train19,S,webcam_l,webcam_c,1.647,0.131,1.626
train19,T,webcam_l,webcam_c,1.273,0.296,1.249
train19,S,webcam_r,basler,2.289,1.063,2.014
train19,T,webcam_r,basler,1.891,0.089,1.841
train19,S,webcam_r,webcam_c,2.388,0.097,1.948
train19,T,webcam_r,webcam_c,2.590,0.377,2.464
train19,S,webcam_r,webcam_l,3.000,0.153,2.950
train19,T,webcam_r,webcam_l,2.759,0.105,2.888
train23,S,webcam_l,webcam_c,0.677,0.363,0.706
train23,T,webcam_l,webcam_c,0.918,0.124,1.076
train23,S,webcam_r,webcam_c,1.678,0.957,1.703
train23,T,webcam_r,webcam_c,1.555,0.142,1.416
train23,S,webcam_r,webcam_l,2.275,0.598,1.869
train23,T,webcam_r,webcam_l,2.065,0.132,1.932
train25,S,webcam_c,basler,2.738,0.212,3.065
train25,T,webcam_c,basler,3.083,0.109,3.019
train25,S,webcam_l,basler,1.707,0.196,1.696
train25,T,webcam_l,basler,1.581,0.198,1.825
train25,S,webcam_l,webcam_c,1.865,0.360,2.173
train25,T,webcam_l,webcam_c,4.108,0.191,3.847
train25,S,webcam_r,basler,1.561,0.290,1.725
train25,T,webcam_r,basler,2.123,0.242,2.080
train25,S,webcam_r,webcam_c,3.647,0.129,4.353
train25,T,webcam_r,webcam_c,3.784,0.246,3.614
train25,S,webcam_r,webcam_l,2.697,0.377,2.573
train25,T,webcam_r,webcam_l,3.051,0.305,2.921
train22,S,webcam_l,webcam_c,0.965,0.138,0.812
train22,T,webcam_l,webcam_c,0.942,0.094,0.901
train22,S,webcam_r,webcam_c,1.636,0.137,1.494
train22,T,webcam_r,webcam_c,1.445,0.125,1.307
train22,S,webcam_r,webcam_l,2.241,0.148,2.407
train22,T,webcam_r,webcam_l,1.783,0.107,1.783
train18,S,webcam_c,basler,1.601,0.383,1.690
train18,T,webcam_c,basler,1.523,0.139,1.534
train18,S,webcam_l,basler,1.307,0.142,1.272
train18,T,webcam_l,basler,1.469,0.145,1.279
train18,S,webcam_l,webcam_c,1.238,0.339,0.985
train18,T,webcam_l,webcam_c,1.007,0.105,1.007
train18,S,webcam_r,basler,1.282,0.189,1.203
train18,T,webcam_r,basler,1.311,0.138,1.282
train18,S,webcam_r,webcam_c,2.113,0.264,1.688
train18,T,webcam_r,webcam_c,1.667,0.192,1.551
train18,S,webcam_r,webcam_l,2.062,0.185,1.893
train18,T,webcam_r,webcam_l,2.005,0.172,1.719
train20,S,webcam_c,basler,2.093,1.580,1.465
train20,T,webcam_c,basler,1.318,0.720,1.434
train20,S,webcam_l,basler,1.751,0.543,1.793
train20,T,webcam_l,basler,1.917,0.158,1.923
train20,S,webcam_l,webcam_c,1.613,1.051,1.486
train20,T,webcam_l,webcam_c,1.476,0.639,1.298
train20,S,webcam_r,basler,2.829,0.392,2.948
train20,T,webcam_r,basler,2.354,0.151,2.053
train20,S,webcam_r,webcam_c,3.222,1.189,2.357
train20,T,webcam_r,webcam_c,2.512,0.821,2.216
train20,S,webcam_r,webcam_l,3.819,0.176,3.711
train20,T,webcam_r,webcam_l,3.771,0.191,3.889
train24,S,webcam_c,basler,1.516,0.539,1.349
train24,T,webcam_c,basler,1.906,0.327,2.020
train24,S,webcam_l,basler,1.497,0.185,1.149
train24,T,webcam_l,basler,1.476,0.134,1.343
train24,S,webcam_l,webcam_c,2.304,0.354,1.916
train24,T,webcam_l,webcam_c,2.172,0.221,1.950
train24,S,webcam_r,basler,1.911,0.318,1.284
train24,T,webcam_r,basler,1.745,0.100,1.443
train24,S,webcam_r,webcam_c,1.492,0.832,1.398
train24,T,webcam_r,webcam_c,2.131,0.272,1.995
train24,S,webcam_r,webcam_l,3.197,0.487,2.206
train24,T,webcam_r,webcam_l,2.774,0.108,2.206
train26,S,webcam_c,basler,2.011,0.190,2.083
train26,T,webcam_c,basler,1.789,0.171,1.961
train26,S,webcam_l,basler,1.311,0.200,1.420
train26,T,webcam_l,basler,1.602,0.266,1.490
train26,S,webcam_l,webcam_c,1.795,0.049,1.727
train26,T,webcam_l,webcam_c,1.996,0.117,1.820
train26,S,webcam_r,basler,1.715,0.477,1.794
train26,T,webcam_r,basler,1.831,0.201,1.962
train26,S,webcam_r,webcam_c,2.974,0.473,3.238
train26,T,webcam_r,webcam_c,2.394,0.186,2.536
train26,S,webcam_r,webcam_l,1.774,0.522,1.775
train26,T,webcam_r,webcam_l,2.125,0.297,2.074
train27,S,webcam_c,basler,1.139,0.316,0.976
train27,T,webcam_c,basler,1.775,0.400,1.627
train27,S,webcam_l,basler,1.530,0.299,1.428
train27,T,webcam_l,basler,1.317,0.115,1.254
train27,S,webcam_l,webcam_c,1.231,0.137,1.238
train27,T,webcam_l,webcam_c,1.126,0.411,0.893
train27,S,webcam_r,basler,1.850,0.413,1.827
train27,T,webcam_r,basler,1.693,0.131,1.643
train27,S,webcam_r,webcam_c,1.839,0.126,1.834
train27,T,webcam_r,webcam_c,2.084,0.437,2.089
train27,S,webcam_r,webcam_l,2.833,0.248,2.837
train27,T,webcam_r,webcam_l,2.460,0.089,2.356
train21,S,webcam_c,basler,1.742,0.277,1.847
train21,T,webcam_c,basler,1.082,0.066,1.116
train21,S,webcam_l,basler,2.150,0.384,1.970
train21,T,webcam_l,basler,1.715,0.128,1.922
train21,S,webcam_l,webcam_c,1.000,0.177,1.103
train21,T,webcam_l,webcam_c,1.106,0.078,1.418
train21,S,webcam_r,basler,1.226,0.059,1.267
train21,T,webcam_r,basler,1.155,0.080,0.935
train21,S,webcam_r,webcam_c,1.695,0.334,1.684
train21,T,webcam_r,webcam_c,1.591,0.083,1.466
train21,S,webcam_r,webcam_l,2.971,0.441,2.531
train21,T,webcam_r,webcam_l,2.988,0.153,2.731
train29,S,webcam_c,basler,1.473,0.212,1.658
train29,T,webcam_c,basler,0.917,0.142,0.987
train29,S,webcam_l,basler,2.223,0.175,2.114
train29,T,webcam_l,basler,1.754,0.141,1.700
train29,S,webcam_l,webcam_c,1.084,0.307,0.925
train29,T,webcam_l,webcam_c,1.604,0.095,1.504
train29,S,webcam_r,basler,1.653,0.222,1.786
train29,T,webcam_r,basler,1.713,0.129,1.748
train29,S,webcam_r,webcam_c,2.105,0.349,1.503
train29,T,webcam_r,webcam_c,1.539,0.112,1.733
train29,S,webcam_r,webcam_l,2.590,0.381,1.839
train29,T,webcam_r,webcam_l,2.318,0.156,2.190
train28,S,webcam_c,basler,1.174,0.200,0.634
train28,T,webcam_c,basler,1.140,0.334,0.767
train28,S,webcam_l,basler,1.692,0.288,1.437
train28,T,webcam_l,basler,1.910,0.199,1.802
train28,S,webcam_l,webcam_c,2.391,0.201,1.844
train28,T,webcam_l,webcam_c,1.759,0.166,1.296
train28,S,webcam_r,basler,2.083,0.332,1.543
train28,T,webcam_r,basler,1.399,0.088,1.375
train28,S,webcam_r,webcam_c,1.253,0.272,1.377
train28,T,webcam_r,webcam_c,1.777,0.294,1.955
train28,S,webcam_r,webcam_l,3.314,0.084,2.760
train28,T,webcam_r,webcam_l,3.152,0.167,2.964
train30,S,webcam_c,basler,1.740,0.044,1.375
train30,T,webcam_c,basler,1.266,0.364,1.224
train30,S,webcam_l,basler,2.246,0.110,1.989
train30,T,webcam_l,basler,1.651,0.108,1.613
train30,S,webcam_l,webcam_c,1.306,0.093,1.729
train30,T,webcam_l,webcam_c,1.538,0.341,1.586
train30,S,webcam_r,basler,1.348,0.132,1.741
train30,T,webcam_r,basler,1.613,0.130,1.944
train30,S,webcam_r,webcam_c,2.022,0.153,1.816
train30,T,webcam_r,webcam_c,1.536,0.369,1.774
train30,S,webcam_r,webcam_l,2.748,0.229,2.961
train30,T,webcam_r,webcam_l,2.622,0.104,2.815
train33,S,webcam_c,basler,1.341,0.667,0.892
train33,T,webcam_c,basler,1.138,0.195,0.790
train33,S,webcam_l,basler,1.506,0.242,1.465
train33,T,webcam_l,basler,1.485,0.101,1.337
train33,S,webcam_l,webcam_c,1.563,0.554,1.242
train33,T,webcam_l,webcam_c,1.689,0.127,1.410
train33,S,webcam_r,basler,1.593,0.554,1.359
train33,T,webcam_r,basler,1.337,0.067,1.436
train33,S,webcam_r,webcam_c,1.515,0.323,1.505
train33,T,webcam_r,webcam_c,1.863,0.172,1.975
train33,S,webcam_r,webcam_l,2.615,0.399,2.796
train33,T,webcam_r,webcam_l,2.722,0.087,2.471
train31,S,webcam_c,basler,1.959,0.317,2.205
train31,T,webcam_c,basler,1.882,0.218,1.790
train31,S,webcam_l,basler,1.424,0.354,1.072
train31,T,webcam_l,basler,1.056,0.111,0.922
train31,S,webcam_l,webcam_c,2.215,0.339,2.297
train31,T,webcam_l,webcam_c,2.608,0.157,2.336
train31,S,webcam_r,basler,1.519,0.400,1.265
train31,T,webcam_r,basler,1.074,0.102,1.261
train31,S,webcam_r,webcam_c,2.888,0.341,3.441
train31,T,webcam_r,webcam_c,2.461,0.174,3.175
train31,S,webcam_r,webcam_l,1.850,0.109,2.099
train31,T,webcam_r,webcam_l,1.892,0.127,1.812
train36,S,webcam_c,basler,1.225,0.742,1.423
train36,T,webcam_c,basler,1.270,0.122,1.216
train36,S,webcam_l,basler,1.656,0.317,1.590
train36,T,webcam_l,basler,1.140,0.124,1.081
train36,S,webcam_l,webcam_c,1.985,0.519,2.140
train36,T,webcam_l,webcam_c,1.287,0.088,1.733
train36,S,webcam_r,basler,1.750,0.109,1.729
train36,T,webcam_r,basler,1.374,0.134,1.346
train36,S,webcam_r,webcam_c,3.414,0.690,3.370
train36,T,webcam_r,webcam_c,2.377,0.101,2.321
train36,S,webcam_r,webcam_l,2.354,0.337,2.212
train36,T,webcam_r,webcam_l,2.006,0.155,1.863
train34,S,webcam_c,basler,1.375,0.830,1.543
train34,T,webcam_c,basler,1.183,0.079,1.200
train34,S,webcam_l,basler,1.580,0.344,1.595
train34,T,webcam_l,basler,1.781,0.161,1.687
train34,S,webcam_l,webcam_c,1.024,0.983,0.860
train34,T,webcam_l,webcam_c,1.263,0.114,1.214
train34,S,webcam_r,basler,1.503,0.292,1.210
train34,T,webcam_r,basler,1.653,0.136,1.420
train34,S,webcam_r,webcam_c,1.437,0.742,1.607
train34,T,webcam_r,webcam_c,1.838,0.129,1.622
train34,S,webcam_r,webcam_l,2.116,0.370,2.249
train34,T,webcam_r,webcam_l,2.751,0.236,2.609
val01,S,webcam_l,webcam_c,1.184,0.191,1.107
val01,T,webcam_l,webcam_c,1.033,0.128,1.156
val01,S,webcam_r,webcam_c,1.497,0.069,1.284
val01,T,webcam_r,webcam_c,1.373,0.084,1.371
val01,S,webcam_r,webcam_l,2.027,0.196,1.997
val01,T,webcam_r,webcam_l,1.753,0.206,1.939
train32,S,webcam_c,basler,1.524,0.225,1.363
train32,T,webcam_c,basler,1.278,0.072,1.173
train32,S,webcam_l,basler,1.155,0.145,0.947
train32,T,webcam_l,basler,1.070,0.131,1.500
train32,S,webcam_l,webcam_c,2.419,0.159,2.742
train32,T,webcam_l,webcam_c,1.697,0.083,2.250
train32,S,webcam_r,basler,1.354,0.294,1.197
train32,T,webcam_r,basler,1.414,0.076,1.361
train32,S,webcam_r,webcam_c,1.106,0.255,1.094
train32,T,webcam_r,webcam_c,1.436,0.080,1.572
train32,S,webcam_r,webcam_l,2.306,0.159,2.253
train32,T,webcam_r,webcam_l,2.807,0.143,2.745
train38,S,webcam_c,basler,0.806,0.359,1.213
train38,T,webcam_c,basler,0.891,0.260,0.807
train38,S,webcam_l,basler,1.928,0.193,2.168
train38,T,webcam_l,basler,1.511,0.139,1.372
train38,S,webcam_l,webcam_c,1.469,0.552,1.264
train38,T,webcam_l,webcam_c,1.969,0.172,1.773
train38,S,webcam_r,basler,2.712,0.059,2.695
train38,T,webcam_r,basler,2.379,0.109,2.383
train38,S,webcam_r,webcam_c,2.287,0.385,2.093
train38,T,webcam_r,webcam_c,2.223,0.295,2.403
train38,S,webcam_r,webcam_l,3.238,0.178,3.443
train38,T,webcam_r,webcam_l,3.020,0.156,2.778
train37,S,webcam_c,basler,1.325,0.294,1.257
train37,T,webcam_c,basler,1.356,0.110,1.153
train37,S,webcam_l,basler,1.490,0.372,1.599
train37,T,webcam_l,basler,1.671,0.080,1.332
train37,S,webcam_l,webcam_c,1.300,0.129,0.997
train37,T,webcam_l,webcam_c,1.114,0.079,0.919
train37,S,webcam_r,basler,1.354,0.465,1.392
train37,T,webcam_r,basler,1.515,0.071,1.551
train37,S,webcam_r,webcam_c,1.350,0.216,1.577
train37,T,webcam_r,webcam_c,0.950,0.091,1.063
train37,S,webcam_r,webcam_l,1.992,0.224,2.169
train37,T,webcam_r,webcam_l,1.895,0.070,2.033
train39,S,webcam_c,basler,2.411,1.098,2.168
train39,T,webcam_c,basler,0.685,0.398,0.653
train39,S,webcam_l,basler,2.119,0.306,2.024
train39,T,webcam_l,basler,2.123,0.135,1.938
train39,S,webcam_l,webcam_c,2.048,0.819,2.001
train39,T,webcam_l,webcam_c,2.484,0.316,2.247
train39,S,webcam_r,basler,1.833,0.119,1.753
train39,T,webcam_r,basler,1.492,0.088,1.436
train39,S,webcam_r,webcam_c,1.659,1.120,1.159
train39,T,webcam_r,webcam_c,1.287,0.403,1.313
train39,S,webcam_r,webcam_l,3.079,0.373,2.740
train39,T,webcam_r,webcam_l,2.997,0.138,2.767
val02,S,webcam_c,basler,1.450,0.252,1.449
val02,T,webcam_c,basler,1.765,0.202,1.637
val02,S,webcam_l,basler,1.698,0.147,1.602
val02,T,webcam_l,basler,2.144,0.126,2.240
val02,S,webcam_l,webcam_c,1.229,0.149,1.359
val02,T,webcam_l,webcam_c,1.903,0.110,1.830
val02,S,webcam_r,basler,2.163,0.188,1.951
val02,T,webcam_r,basler,1.575,0.085,1.635
val02,S,webcam_r,webcam_c,1.918,0.204,1.925
val02,T,webcam_r,webcam_c,2.109,0.214,1.994
val02,S,webcam_r,webcam_l,2.436,0.077,2.410
val02,T,webcam_r,webcam_l,2.637,0.129,2.718
val03,S,webcam_l,webcam_c,1.089,1.169,0.887
val03,T,webcam_l,webcam_c,1.319,0.131,1.484
val03,S,webcam_r,webcam_c,1.389,0.383,1.030
val03,T,webcam_r,webcam_c,1.755,0.095,1.616
val03,S,webcam_r,webcam_l,2.579,1.549,1.684
val03,T,webcam_r,webcam_l,2.557,0.221,2.491
train35,S,webcam_c,basler,1.429,0.431,1.160
train35,T,webcam_c,basler,3.167,0.950,2.563
train35,S,webcam_l,basler,1.951,0.625,1.726
train35,T,webcam_l,basler,1.473,0.226,1.315
train35,S,webcam_l,webcam_c,2.166,1.054,1.973
train35,T,webcam_l,webcam_c,3.138,0.763,2.556
train35,S,webcam_r,basler,1.785,0.113,1.738
train35,T,webcam_r,basler,2.167,0.114,1.834
train35,S,webcam_r,webcam_c,1.578,0.466,1.700
train35,T,webcam_r,webcam_c,3.868,1.012,3.199
train35,S,webcam_r,webcam_l,3.158,0.620,2.477
train35,T,webcam_r,webcam_l,2.710,0.270,2.696
val04,S,webcam_c,basler,1.295,0.358,1.085
val04,T,webcam_c,basler,0.898,0.197,0.749
val04,S,webcam_l,basler,1.585,0.414,1.207
val04,T,webcam_l,basler,1.268,0.144,1.148
val04,S,webcam_l,webcam_c,1.618,0.700,1.402
val04,T,webcam_l,webcam_c,1.417,0.109,1.467
val04,S,webcam_r,basler,1.887,0.298,1.521
val04,T,webcam_r,basler,1.893,0.125,1.945
val04,S,webcam_r,webcam_c,1.881,0.479,2.221
val04,T,webcam_r,webcam_c,2.166,0.159,2.346
val04,S,webcam_r,webcam_l,2.306,0.377,2.059
val04,T,webcam_r,webcam_l,2.460,0.156,2.344
val05,S,webcam_c,basler,1.321,0.472,1.083
val05,T,webcam_c,basler,1.228,0.283,1.166
val05,S,webcam_l,basler,2.046,0.214,1.949
val05,T,webcam_l,basler,1.511,0.312,1.495
val05,S,webcam_l,webcam_c,2.181,0.656,2.450
val05,T,webcam_l,webcam_c,1.638,0.140,1.464
val05,S,webcam_r,basler,1.875,0.586,1.323
val05,T,webcam_r,basler,1.496,0.163,1.351
val05,S,webcam_r,webcam_c,2.039,0.338,1.937
val05,T,webcam_r,webcam_c,2.093,0.209,2.135
val05,S,webcam_r,webcam_l,3.230,0.740,2.738
val05,T,webcam_r,webcam_l,2.665,0.289,2.367
