subject,arm,cam_a,cam_b,point,raw_mm,aligned_mm
train09,T,webcam_r,webcam_c,nose84(base of nose),5.194,4.534
train09,S,webcam_r,webcam_l,eye35(outer corner),5.335,2.232
train09,S,webcam_r,webcam_l,eye39(inner corner),2.702,2.469
train09,S,webcam_r,webcam_l,eye89(inner corner),4.036,3.900
train09,S,webcam_r,webcam_l,eye93(outer corner),2.028,2.119
train09,S,webcam_r,webcam_l,nose78(base of nose),0.931,1.978
train09,S,webcam_r,webcam_l,nose84(base of nose),1.545,1.937
train09,T,webcam_r,webcam_l,eye35(outer corner),2.886,1.979
train09,T,webcam_r,webcam_l,eye39(inner corner),2.847,2.454
train09,T,webcam_r,webcam_l,eye89(inner corner),5.294,5.163
train09,T,webcam_r,webcam_l,eye93(outer corner),2.139,2.614
train09,T,webcam_r,webcam_l,nose78(base of nose),1.270,1.941
train09,T,webcam_r,webcam_l,nose84(base of nose),2.127,2.242
train01,S,webcam_c,basler,eye35(outer corner),1.533,1.530
train01,S,webcam_c,basler,eye39(inner corner),2.903,2.628
train01,S,webcam_c,basler,eye89(inner corner),1.306,2.390
train01,S,webcam_c,basler,eye93(outer corner),2.598,1.410
train01,S,webcam_c,basler,nose78(base of nose),2.477,2.515
train01,S,webcam_c,basler,nose84(base of nose),2.638,2.157
train01,T,webcam_c,basler,eye35(outer corner),1.271,1.386
train01,T,webcam_c,basler,eye39(inner corner),2.119,1.950
train01,T,webcam_c,basler,eye89(inner corner),1.020,1.098
train01,T,webcam_c,basler,eye93(outer corner),1.640,1.351
train01,T,webcam_c,basler,nose78(base of nose),1.313,1.063
train01,T,webcam_c,basler,nose84(base of nose),0.438,0.426
train01,S,webcam_l,basler,eye35(outer corner),1.929,1.697
train01,S,webcam_l,basler,eye39(inner corner),2.168,1.994
train01,S,webcam_l,basler,eye89(inner corner),1.376,1.839
train01,S,webcam_l,basler,eye93(outer corner),1.152,1.059
train01,S,webcam_l,basler,nose78(base of nose),4.265,4.897
train01,S,webcam_l,basler,nose84(base of nose),5.566,4.816
train01,T,webcam_l,basler,eye35(outer corner),2.034,1.866
train01,T,webcam_l,basler,eye39(inner corner),1.283,1.343
train01,T,webcam_l,basler,eye89(inner corner),2.376,2.186
train01,T,webcam_l,basler,eye93(outer corner),0.707,0.795
train01,T,webcam_l,basler,nose78(base of nose),2.990,4.074
train01,T,webcam_l,basler,nose84(base of nose),5.126,4.139
train01,S,webcam_l,webcam_c,eye35(outer corner),1.185,1.029
train01,S,webcam_l,webcam_c,eye39(inner corner),1.246,1.192
train01,S,webcam_l,webcam_c,eye89(inner corner),0.535,0.718
train01,S,webcam_l,webcam_c,eye93(outer corner),2.535,1.883
train01,S,webcam_l,webcam_c,nose78(base of nose),2.146,2.724
train01,S,webcam_l,webcam_c,nose84(base of nose),3.054,2.755
train01,T,webcam_l,webcam_c,eye35(outer corner),1.999,1.953
train01,T,webcam_l,webcam_c,eye39(inner corner),1.171,0.974
train01,T,webcam_l,webcam_c,eye89(inner corner),2.191,1.466
train01,T,webcam_l,webcam_c,eye93(outer corner),1.761,1.370
train01,T,webcam_l,webcam_c,nose78(base of nose),2.033,3.384
train01,T,webcam_l,webcam_c,nose84(base of nose),4.774,3.818
train01,S,webcam_r,basler,eye35(outer corner),1.392,0.753
train01,S,webcam_r,basler,eye39(inner corner),1.829,2.449
train01,S,webcam_r,basler,eye89(inner corner),3.034,2.468
train01,S,webcam_r,basler,eye93(outer corner),1.500,1.190
train01,S,webcam_r,basler,nose78(base of nose),3.020,2.198
train01,S,webcam_r,basler,nose84(base of nose),2.064,2.699
train01,T,webcam_r,basler,eye35(outer corner),0.590,0.972
train01,T,webcam_r,basler,eye39(inner corner),1.433,1.307
train01,T,webcam_r,basler,eye89(inner corner),1.411,1.966
train01,T,webcam_r,basler,eye93(outer corner),2.718,1.724
train01,T,webcam_r,basler,nose78(base of nose),1.584,0.835
train01,T,webcam_r,basler,nose84(base of nose),0.654,0.895
train01,S,webcam_r,webcam_c,eye35(outer corner),2.077,1.357
train01,S,webcam_r,webcam_c,eye39(inner corner),3.954,4.305
train01,S,webcam_r,webcam_c,eye89(inner corner),4.205,4.696
train01,S,webcam_r,webcam_c,eye93(outer corner),2.137,0.998
train01,S,webcam_r,webcam_c,nose78(base of nose),5.039,4.062
train01,S,webcam_r,webcam_c,nose84(base of nose),3.869,4.260
train01,T,webcam_r,webcam_c,eye35(outer corner),1.467,1.113
train01,T,webcam_r,webcam_c,eye39(inner corner),1.360,1.339
train01,T,webcam_r,webcam_c,eye89(inner corner),1.341,2.498
train01,T,webcam_r,webcam_c,eye93(outer corner),3.159,0.897
train01,T,webcam_r,webcam_c,nose78(base of nose),2.320,1.080
train01,T,webcam_r,webcam_c,nose84(base of nose),0.996,1.234
train01,S,webcam_r,webcam_l,eye35(outer corner),1.940,1.612
train01,S,webcam_r,webcam_l,eye39(inner corner),3.279,3.589
train01,S,webcam_r,webcam_l,eye89(inner corner),4.313,4.124
train01,S,webcam_r,webcam_l,eye93(outer corner),0.594,0.970
train01,S,webcam_r,webcam_l,nose78(base of nose),6.570,6.427
train01,S,webcam_r,webcam_l,nose84(base of nose),6.368,6.396
train01,T,webcam_r,webcam_l,eye35(outer corner),2.282,2.504
train01,T,webcam_r,webcam_l,eye39(inner corner),0.932,0.972
train01,T,webcam_r,webcam_l,eye89(inner corner),3.476,3.918
train01,T,webcam_r,webcam_l,eye93(outer corner),2.449,1.800
train01,T,webcam_r,webcam_l,nose78(base of nose),4.136,4.448
train01,T,webcam_r,webcam_l,nose84(base of nose),5.361,4.614
train10,S,webcam_c,basler,eye35(outer corner),0.829,0.898
train10,S,webcam_c,basler,eye39(inner corner),1.698,1.227
train10,S,webcam_c,basler,eye89(inner corner),1.426,0.534
train10,S,webcam_c,basler,eye93(outer corner),0.806,0.916
train10,S,webcam_c,basler,nose78(base of nose),1.592,1.079
train10,S,webcam_c,basler,nose84(base of nose),0.531,0.876
train10,T,webcam_c,basler,eye35(outer corner),0.600,0.734
train10,T,webcam_c,basler,eye39(inner corner),1.676,1.504
train10,T,webcam_c,basler,eye89(inner corner),0.692,0.743
train10,T,webcam_c,basler,eye93(outer corner),0.706,0.863
train10,T,webcam_c,basler,nose78(base of nose),1.689,1.348
train10,T,webcam_c,basler,nose84(base of nose),1.006,1.186
train10,S,webcam_l,basler,eye35(outer corner),1.076,0.818
train10,S,webcam_l,basler,eye39(inner corner),2.992,2.385
train10,S,webcam_l,basler,eye89(inner corner),1.994,2.278
train10,S,webcam_l,basler,eye93(outer corner),0.663,0.727
train10,S,webcam_l,basler,nose78(base of nose),1.885,2.182
train10,S,webcam_l,basler,nose84(base of nose),1.848,1.761
train10,T,webcam_l,basler,eye35(outer corner),0.498,0.572
train10,T,webcam_l,basler,eye39(inner corner),2.087,1.863
train10,T,webcam_l,basler,eye89(inner corner),2.384,2.454
train10,T,webcam_l,basler,eye93(outer corner),1.025,1.049
train10,T,webcam_l,basler,nose78(base of nose),1.299,1.539
train10,T,webcam_l,basler,nose84(base of nose),1.486,1.293
train10,S,webcam_l,webcam_c,eye35(outer corner),0.270,0.100
train10,S,webcam_l,webcam_c,eye39(inner corner),2.192,2.149
train10,S,webcam_l,webcam_c,eye89(inner corner),3.400,2.788
train10,S,webcam_l,webcam_c,eye93(outer corner),0.763,1.391
train10,S,webcam_l,webcam_c,nose78(base of nose),1.106,1.509
train10,S,webcam_l,webcam_c,nose84(base of nose),1.326,0.909
train10,T,webcam_l,webcam_c,eye35(outer corner),0.479,0.347
train10,T,webcam_l,webcam_c,eye39(inner corner),1.240,1.162
train10,T,webcam_l,webcam_c,eye89(inner corner),2.244,1.996
train10,T,webcam_l,webcam_c,eye93(outer corner),0.960,1.389
train10,T,webcam_l,webcam_c,nose78(base of nose),1.210,1.110
train10,T,webcam_l,webcam_c,nose84(base of nose),0.605,0.368
train10,S,webcam_r,basler,eye35(outer corner),0.928,1.241
train10,S,webcam_r,basler,eye39(inner corner),1.410,1.337
train10,S,webcam_r,basler,eye89(inner corner),3.223,3.080
train10,S,webcam_r,basler,eye93(outer corner),1.146,1.380
train10,S,webcam_r,basler,nose78(base of nose),1.642,1.876
train10,S,webcam_r,basler,nose84(base of nose),2.483,2.158
train10,T,webcam_r,basler,eye35(outer corner),1.004,1.047
train10,T,webcam_r,basler,eye39(inner corner),1.234,1.155
train10,T,webcam_r,basler,eye89(inner corner),2.105,2.133
train10,T,webcam_r,basler,eye93(outer corner),1.241,1.277
train10,T,webcam_r,basler,nose78(base of nose),1.233,1.293
train10,T,webcam_r,basler,nose84(base of nose),1.523,1.391
train10,S,webcam_r,webcam_c,eye35(outer corner),1.559,1.458
train10,S,webcam_r,webcam_c,eye39(inner corner),1.469,1.021
train10,S,webcam_r,webcam_c,eye89(inner corner),1.949,2.570
train10,S,webcam_r,webcam_c,eye93(outer corner),1.620,0.695
train10,S,webcam_r,webcam_c,nose78(base of nose),3.203,2.909
train10,S,webcam_r,webcam_c,nose84(base of nose),2.873,2.904
train10,T,webcam_r,webcam_c,eye35(outer corner),0.960,1.016
train10,T,webcam_r,webcam_c,eye39(inner corner),1.525,1.343
train10,T,webcam_r,webcam_c,eye89(inner corner),2.119,2.498
train10,T,webcam_r,webcam_c,eye93(outer corner),1.203,0.676
train10,T,webcam_r,webcam_c,nose78(base of nose),2.772,2.496
train10,T,webcam_r,webcam_c,nose84(base of nose),2.389,2.447
train10,S,webcam_r,webcam_l,eye35(outer corner),1.828,1.348
train10,S,webcam_r,webcam_l,eye39(inner corner),3.550,3.097
train10,S,webcam_r,webcam_l,eye89(inner corner),5.169,5.231
