subject,arm,cam,n_train,n_kept,train_rms_px,test_rms_med_px,iod_mm
subject0000,GEN,cam09,0,0,nan,23.246,nan
subject0000,T,cam10,60,60,5.858,7.397,89.763
subject0000,Tk,cam10,30,30,4.719,6.701,89.896
subject0000,S,cam10,60,30,4.043,6.846,89.875
subject0000,GEN,cam10,0,0,nan,28.416,nan
subject0000,T,cam16,60,60,4.752,6.053,90.033
subject0000,Tk,cam16,30,30,3.367,4.909,90.514
subject0000,S,cam16,60,30,2.542,4.847,90.573
subject0000,GEN,cam16,0,0,nan,27.145,nan
subject0000,T,cam17,60,60,5.542,6.687,90.399
subject0000,Tk,cam17,30,30,3.885,4.314,90.483
subject0000,S,cam17,60,30,2.143,4.185,90.250
subject0000,GEN,cam17,0,0,nan,27.726,nan
subject0000,S240,cam10,118,59,3.262,6.212,90.054
subject0000,F,cam00,480,0,nan,22.294,90.427
subject0000,F,cam01,480,0,nan,23.450,90.427
subject0000,F,cam02,480,0,nan,36.949,90.427
subject0000,F,cam08,480,0,nan,15.833,90.427
subject0000,F,cam09,480,0,nan,16.618,90.427
subject0000,F,cam10,480,0,nan,36.900,90.427
subject0000,F,cam16,480,0,nan,29.457,90.427
subject0000,F,cam17,480,0,nan,21.329,90.427
subject0000,M,cam00,480,240,6.408,7.760,90.586
subject0000,M,cam01,480,240,6.408,8.525,90.586
subject0000,M,cam02,480,240,6.408,19.488,90.586
subject0000,M,cam08,480,240,6.408,11.740,90.586
subject0000,M,cam09,480,240,6.408,12.247,90.586
subject0000,M,cam10,480,240,6.408,29.726,90.586
subject0000,M,cam16,480,240,6.408,21.210,90.586
subject0000,M,cam17,480,240,6.408,21.896,90.586
subject0000,S_cross,cam00,0,0,nan,51.676,nan
subject0000,S_cross,cam01,0,0,nan,42.609,nan
subject0000,S_cross,cam02,0,0,nan,31.909,nan
subject0000,S_cross,cam08,0,0,nan,42.150,nan
subject0000,S_cross,cam09,0,0,nan,30.250,nan
subject0000,S_cross,cam16,0,0,nan,54.090,nan
subject0000,S_cross,cam17,0,0,nan,38.434,nan
subject0005,T,cam00,60,60,3.854,4.507,91.206
subject0005,Tk,cam00,30,30,2.909,4.051,91.093
subject0005,S,cam00,60,30,2.262,3.944,90.711
subject0005,GEN,cam00,0,0,nan,16.587,nan
subject0005,T,cam01,60,60,3.672,4.615,90.822
subject0005,Tk,cam01,30,30,2.944,4.451,90.988
subject0005,S,cam01,60,30,2.306,4.471,91.102
subject0005,GEN,cam01,0,0,nan,16.230,nan
subject0005,T,cam02,60,60,4.643,5.742,88.913
subject0005,Tk,cam02,30,30,3.295,5.112,89.632
subject0005,S,cam02,60,30,2.585,5.067,89.694
subject0005,GEN,cam02,0,0,nan,27.053,nan
subject0005,T,cam03,60,60,3.806,4.973,88.926
subject0005,Tk,cam03,30,30,2.938,4.414,88.941
subject0005,S,cam03,60,30,2.249,4.407,88.998
subject0005,GEN,cam03,0,0,nan,23.094,nan
subject0005,T,cam07,60,60,3.440,4.277,88.961
subject0005,Tk,cam07,30,30,2.826,3.782,90.030
subject0005,S,cam07,60,30,2.255,3.773,89.572
subject0005,GEN,cam07,0,0,nan,16.112,nan
subject0005,T,cam08,60,60,5.008,6.077,91.065
subject0005,Tk,cam08,30,30,4.142,4.760,91.119
subject0005,S,cam08,60,30,2.918,4.918,91.102
subject0005,GEN,cam08,0,0,nan,23.261,nan
subject0005,T,cam09,60,60,6.583,7.880,90.648
subject0005,Tk,cam09,30,30,4.247,4.695,90.689
subject0005,S,cam09,60,30,2.692,4.800,90.219
subject0005,GEN,cam09,0,0,nan,24.061,nan
subject0005,T,cam10,60,60,5.421,6.706,88.870
subject0005,Tk,cam10,30,30,4.539,6.998,88.838
subject0005,S,cam10,60,30,4.256,7.112,88.835
subject0005,GEN,cam10,0,0,nan,35.963,nan
subject0005,T,cam16,60,60,4.583,5.837,90.160
subject0005,Tk,cam16,30,30,3.492,5.314,90.278
subject0005,S,cam16,60,30,2.825,5.295,90.262
subject0005,GEN,cam16,0,0,nan,25.791,nan
subject0005,T,cam17,60,60,4.817,5.859,89.890
subject0005,Tk,cam17,30,30,3.946,5.577,89.977
subject0005,S,cam17,60,30,3.197,5.786,89.987
subject0005,GEN,cam17,0,0,nan,31.078,nan
subject0005,S240,cam16,117,58,3.149,5.457,90.126
subject0005,F,cam00,600,0,nan,16.294,90.402
subject0005,F,cam01,600,0,nan,16.848,90.402
subject0005,F,cam02,600,0,nan,32.302,90.402
subject0005,F,cam03,600,0,nan,34.238,90.402
subject0005,F,cam07,600,0,nan,27.420,90.402
subject0005,F,cam08,600,0,nan,15.066,90.402
subject0005,F,cam09,600,0,nan,14.680,90.402
subject0005,F,cam10,600,0,nan,38.239,90.402
subject0005,F,cam16,600,0,nan,27.102,90.402
subject0005,F,cam17,600,0,nan,24.979,90.402
subject0005,M,cam00,600,300,10.947,8.429,91.054
subject0005,M,cam01,600,300,10.947,10.160,91.054
subject0005,M,cam02,600,300,10.947,17.628,91.054
subject0005,M,cam03,600,300,10.947,16.850,91.054
subject0005,M,cam07,600,300,10.947,18.816,91.054
subject0005,M,cam08,600,300,10.947,15.799,91.054
subject0005,M,cam09,600,300,10.947,15.448,91.054
subject0005,M,cam10,600,300,10.947,35.472,91.054
subject0005,M,cam16,600,300,10.947,25.055,91.054
subject0005,M,cam17,600,300,10.947,31.251,91.054
subject0005,S_cross,cam00,0,0,nan,38.567,nan
subject0005,S_cross,cam01,0,0,nan,47.604,nan
subject0005,S_cross,cam02,0,0,nan,52.892,nan
subject0005,S_cross,cam03,0,0,nan,57.081,nan
subject0005,S_cross,cam07,0,0,nan,28.395,nan
subject0005,S_cross,cam08,0,0,nan,26.541,nan
subject0005,S_cross,cam09,0,0,nan,37.924,nan
subject0005,S_cross,cam10,0,0,nan,56.855,nan
subject0005,S_cross,cam17,0,0,nan,32.453,nan
subject0013,T,cam00,60,60,4.410,5.626,89.757
subject0013,Tk,cam00,30,30,3.317,5.440,89.838
subject0013,S,cam00,60,30,2.785,5.453,89.602
