subject,arm,cam,n_train,n_kept,train_rms_px,test_rms_med_px,iod_mm
train16,S,webcam_r,60,30,0.363,0.716,89.769
train16,S240,basler,228,114,0.352,0.707,89.294
train16,F,basler,240,0,nan,3.314,89.754
train16,F,webcam_l,240,0,nan,3.056,89.754
train16,F,webcam_c,240,0,nan,1.193,89.754
train16,F,webcam_r,240,0,nan,2.893,89.754
train16,M,basler,240,120,0.993,5.222,89.775
train16,M,webcam_l,240,120,0.993,1.528,89.775
train16,M,webcam_c,240,120,0.993,1.066,89.775
train16,M,webcam_r,240,120,0.993,2.311,89.775
train16,GEN,basler,0,0,nan,3.494,nan
train16,GEN,webcam_l,0,0,nan,3.994,nan
train16,GEN,webcam_c,0,0,nan,3.116,nan
train16,GEN,webcam_r,0,0,nan,4.529,nan
train16,S_cross,webcam_l,0,0,nan,6.302,nan
train16,S_cross,webcam_c,0,0,nan,5.149,nan
train16,S_cross,webcam_r,0,0,nan,6.596,nan
train20,T,basler,60,60,0.454,0.633,90.423
train20,Tk,basler,30,30,0.371,0.647,90.549
train20,S,basler,60,30,0.291,0.521,90.431
train20,T,webcam_l,60,60,0.584,0.770,91.013
train20,Tk,webcam_l,30,30,0.469,0.679,90.864
train20,S,webcam_l,60,30,0.367,0.696,90.930
train20,T,webcam_c,60,60,0.642,0.823,90.880
train20,Tk,webcam_c,30,30,0.478,0.817,90.949
train20,S,webcam_c,60,30,0.348,0.691,91.005
train20,T,webcam_r,60,60,0.732,0.942,90.147
train20,Tk,webcam_r,30,30,0.573,0.884,90.061
train20,S,webcam_r,60,30,0.458,0.882,90.028
train20,S240,basler,229,114,0.301,0.515,90.375
train20,F,basler,240,0,nan,5.160,90.735
train20,F,webcam_l,240,0,nan,3.810,90.735
train20,F,webcam_c,240,0,nan,1.375,90.735
train20,F,webcam_r,240,0,nan,5.161,90.735
train20,M,basler,240,120,2.064,1.839,91.394
train20,M,webcam_l,240,120,2.064,4.435,91.394
train20,M,webcam_c,240,120,2.064,2.865,91.394
