session,n_groups,train_rms_med_px,test_rms_med_px,test_rms_generic_med_px,improvement_x,iod_mean_mm
01056,1,0.93,1.65,2.01,1.2,90.1
01058,3,0.94,1.7,2.75,1.6,89.5
01063,1,0.32,0.5,1.38,2.8,89.7
01065,3,0.37,0.81,1.69,2.1,92.0
01066,2,0.59,0.97,2.86,3.0,90.0
01069,1,0.18,0.32,1.13,3.5,90.8
01073,2,0.44,0.83,2.36,2.9,89.8
01077,2,0.41,0.82,1.61,2.0,90.1
01083,1,0.38,0.9,2.55,2.8,89.9
01084,1,1.15,1.67,2.05,1.2,91.3
01085,4,0.49,0.85,3.13,3.7,89.3
01086,2,0.49,0.92,2.16,2.3,90.9
01090,2,1.05,1.91,2.41,1.3,91.1
01092,3,0.43,0.76,3.67,4.9,89.1
01093,3,0.57,1.16,2.95,2.5,90.0
01095,3,0.46,0.89,2.24,2.5,90.2
01100,1,0.66,0.91,1.17,1.3,90.6
01103,2,0.53,0.96,2.16,2.2,89.3
01104,3,0.52,0.96,1.91,2.0,91.1
01105,3,0.58,1.02,1.77,1.7,90.6
01107,3,0.31,0.52,1.09,2.1,90.8
01110,2,0.78,1.65,1.95,1.2,90.4
01118,3,0.45,1.05,1.66,1.6,90.0
01119,3,0.34,0.92,1.63,1.8,90.4
01120,2,0.84,1.95,4.0,2.0,89.2
01122,3,0.13,0.31,2.5,8.1,89.4
01123,1,0.44,1.11,1.14,1.0,91.3
01127,3,0.4,0.78,2.67,3.4,89.8
01128,2,0.54,1.07,1.89,1.8,92.1
01129,3,0.77,1.96,2.9,1.5,90.1
01134,3,0.33,0.73,2.11,2.9,89.8
01135,3,0.53,0.95,2.04,2.2,89.9
01138,2,0.64,1.37,2.23,1.6,91.0
01139,2,1.01,1.56,2.88,1.9,90.7
01143,3,0.51,0.79,1.42,1.8,90.6
01146,3,0.52,1.1,2.87,2.6,90.1
01147,2,0.69,1.36,1.88,1.4,91.3
01148,3,0.53,1.07,1.73,1.6,91.3
01149,3,0.34,0.64,1.55,2.4,91.3
01151,4,0.38,0.81,2.98,3.7,89.5
01152,1,0.72,0.95,2.12,2.2,89.7
01155,3,0.78,1.54,2.45,1.6,90.4
01156,2,0.57,1.27,2.52,2.0,89.8
01157,3,0.62,1.09,2.3,2.1,89.7
01158,2,0.7,1.36,2.27,1.7,89.6
01161,1,0.7,1.78,1.65,0.9,90.5
01162,1,0.73,1.43,2.76,1.9,90.2
01163,3,0.56,1.11,3.19,2.9,89.2
01164,2,0.43,1.05,1.54,1.5,90.2
01165,3,0.58,1.43,1.51,1.1,90.3
01166,3,0.35,0.71,1.08,1.5,90.7
01170,2,0.59,1.0,1.95,2.0,91.2
01171,3,0.51,1.03,3.03,2.9,89.1
01172,2,0.2,0.36,1.93,5.3,89.7
01173,2,0.58,1.15,2.4,2.1,89.9
01174,3,0.54,1.15,2.06,1.8,90.4
01175,2,0.93,1.83,1.55,0.8,90.7
01180,2,0.96,1.7,2.47,1.5,91.3
01181,3,0.65,0.98,2.4,2.5,89.6
01182,3,0.37,0.65,0.9,1.4,90.7
01183,4,0.33,0.66,2.36,3.6,89.6
01184,3,0.63,1.35,1.77,1.3,90.0
01188,1,0.61,1.27,1.43,1.1,91.2
01191,2,0.51,0.73,3.13,4.3,89.9
01195,3,0.32,0.57,2.51,4.4,89.1
01201,3,0.37,0.79,1.95,2.5,90.4
01204,3,0.47,0.95,1.54,1.6,91.2
01206,3,0.61,1.28,1.7,1.3,90.1
01208,3,0.38,1.0,2.69,2.7,90.2
01209,3,0.28,0.5,2.28,4.5,90.6
01211,3,0.91,1.51,1.97,1.3,90.8
01219,3,0.21,0.36,1.93,5.3,89.7
01220,3,0.42,0.93,0.98,1.1,90.7
01221,4,0.69,1.42,2.86,2.0,90.1
01224,2,0.2,0.71,1.43,2.0,88.7
01225,2,0.81,1.84,1.84,1.0,90.3
01231,1,0.48,0.85,1.92,2.3,90.2
01233,3,0.38,0.97,1.33,1.4,90.7
01237,3,0.62,1.12,2.72,2.4,89.6
01244,3,0.37,0.73,1.34,1.8,91.0
01247,3,0.64,1.11,3.18,2.9,89.9
01248,2,0.6,1.15,1.76,1.5,90.2
01250,3,0.54,1.07,2.48,2.3,89.7
01252,1,0.4,0.78,2.5,3.2,89.2
01254,3,0.5,1.78,3.29,1.8,90.6
01255,2,0.94,1.63,2.31,1.4,90.3
01256,3,0.62,1.24,1.87,1.5,89.8
01259,3,0.77,1.52,1.98,1.3,90.9
01262,2,0.6,1.09,2.4,2.2,89.1
